brewery_id;name;cat_id;style_id;abv
757;EKU 28;7;90;11
757;Eisbock;7;90;9,2
1115;Doppelbock Dunkel;7;92;8,5
1385;Special London Ale;1;13;6,4
1385;Oatmeal Stout;3;42;5,2
363;Cerveza Negra;3;42;6,5
363;Cerveza Diablo;8;95;7,5
363;Cerveza Roja;7;84;6
425;Ripon Jewel Ale;3;26;5,8
723;Bam BiÃ¨re;5;74;4,5
1115;Samichlaus Bier 2005;7;90;14
609;Barleywine;3;35;10
1023;Aventinus Weizen-Eisbock;7;90;12
1023;Aventinus Weizenstarkbier / Doppel Weizen Bock;4;55;8,2
905;New Belgium Trippel Belgian Style Ale;5;61;8,5
905;Abbey Belgian Style Ale;5;60;7
1142;India Pale Ale;3;26;6,8
586;Demolition;8;95;8
723;Oro de Calabaza;5;65;8
723;La Roja;3;33;7,2
441;Hop Trip Fresh Hop Pale Ale;3;26;5,5
604;Hibernation Ale;1;13;8,1
905;2Â° Below;1;5;6,6
425;Monkey Wrench Dark Ale;2;25;5,3
604;Hercules Double IPA;3;31;9,1
604;Fresh Hop Pale Ale;3;26;6,1
98;Twisted Thistle India Pale Ale;3;26;6,1
441;Inversion IPA;3;31;6,8
844;India Pale Ale;3;26;7,5
844;London Porter;2;25;6,5
363;Rubia;8;95;6
562;Session Premium Lager;8;95;5,1
156;Mocny BOSS / BOSS Beer;8;95;8,1
127;La Rossa;7;90;7,2
905;Blue Paddle Pilsener;7;77;4,8
367;Lager;8;95;4
296;Abt 12;5;62;10
1375;Bah Humbug;1;13;6
727;Harvest Ale 2005;1;13;11,5
638;Old Engine Oil;2;25;6
1043;Old Slug Porter;2;25;4,5
744;Porter;2;25;7,1
626;Nightmare;2;25;5
1043;Ale Mary;3;26;6
70;Christmas Bock;7;90;6
296;Prior 8;5;60;8
70;Weisse;4;50;4,9
757;MÃ¶nchshof Premium Schwarzbier;7;86;4,9
296;St. Bernardus Tripel;5;61;8
1204;Double Bastard Ale;3;26;10
7;Rochefort 6;3;29;7,5
262;Westmalle Trappist Tripel;5;61;9,5
590;Cow Palace Scotch Ale;1;15;6,8
